t,A,B,C,D,E,
0.000000,1000,0,0,0,0,
0.001828,999,1,0,0,0,
0.003962,998,2,0,0,0,
0.005599,997,3,0,0,0,
0.011029,996,4,0,0,0,
0.012735,995,5,0,0,0,
0.014234,994,6,0,0,0,
0.015692,993,7,0,0,0,
0.019417,992,8,0,0,0,
0.029424,991,9,0,0,0,
0.036781,990,10,0,0,0,
0.039563,989,11,0,0,0,
0.041252,988,12,0,0,0,
0.044510,987,13,0,0,0,
0.046253,986,14,0,0,0,
0.048683,985,15,0,0,0,
0.050457,984,16,0,0,0,
0.052093,983,17,0,0,0,
0.057588,982,18,0,0,0,
0.059177,981,19,0,0,0,
0.061409,980,20,0,0,0,
0.063089,979,21,0,0,0,
0.065480,978,22,0,0,0,
0.067635,977,23,0,0,0,
0.069498,976,24,0,0,0,
0.071318,975,25,0,0,0,
0.073461,974,26,0,0,0,
0.075418,973,27,0,0,0,
0.079984,972,28,0,0,0,
0.085295,971,29,0,0,0,
0.087197,970,30,0,0,0,
0.089164,969,31,0,0,0,
0.092505,968,32,0,0,0,
0.094505,967,33,0,0,0,
0.097527,966,34,0,0,0,
0.104416,965,35,0,0,0,
0.107096,964,36,0,0,0,
0.111615,964,35,1,0,0,
0.114347,963,36,1,0,0,
0.116842,962,37,1,0,0,
0.119216,961,38,1,0,0,
0.121268,960,39,1,0,0,
0.124135,959,40,1,0,0,
0.126810,958,41,1,0,0,
0.128272,957,42,1,0,0,
0.130261,956,43,1,0,0,
0.132304,955,44,1,0,0,
0.133940,954,45,1,0,0,
0.137065,953,46,1,0,0,
0.141139,952,47,1,0,0,
0.143813,951,48,1,0,0,
0.146333,950,49,1,0,0,
0.147823,949,50,1,0,0,
0.150281,948,51,1,0,0,
0.151827,947,52,1,0,0,
0.157931,946,53,1,0,0,
0.162687,945,54,1,0,0,
0.164189,944,55,1,0,0,
0.166562,943,56,1,0,0,
0.168734,942,57,1,0,0,
0.170644,941,58,1,0,0,
0.172082,940,59,1,0,0,
0.173853,939,60,1,0,0,
0.178011,938,61,1,0,0,
0.181117,937,62,1,0,0,
0.182938,936,63,1,0,0,
0.186527,935,64,1,0,0,
0.188042,934,65,1,0,0,
0.189654,933,66,1,0,0,
0.194270,932,67,1,0,0,
0.195733,931,68,1,0,0,
0.198566,930,69,1,0,0,
0.201853,929,70,1,0,0,
0.203399,928,71,1,0,0,
0.204841,927,72,1,0,0,
0.211785,926,73,1,0,0,
0.214803,925,74,1,0,0,
0.217828,924,75,1,0,0,
0.220060,923,76,1,0,0,
0.221710,922,77,1,0,0,
0.224464,921,78,1,0,0,
0.226189,920,79,1,0,0,
0.228484,919,80,1,0,0,
0.230025,918,81,1,0,0,
0.231869,917,82,1,0,0,
0.239861,916,83,1,0,0,
0.241557,915,84,1,0,0,
0.244285,914,85,1,0,0,
0.246634,913,86,1,0,0,
0.248174,912,87,1,0,0,
0.251096,911,88,1,0,0,
0.253592,910,89,1,0,0,
0.255351,909,90,1,0,0,
0.265824,908,91,1,0,0,
0.267315,907,92,1,0,0,
0.269799,906,93,1,0,0,
0.275771,906,92,2,0,0,
0.278317,905,93,2,0,0,
0.287529,904,94,2,0,0,
0.291230,903,95,2,0,0,
0.292853,902,96,2,0,0,
0.303284,901,97,2,0,0,
0.305082,900,98,2,0,0,
0.310356,899,99,2,0,0,
0.311846,898,100,2,0,0,
0.313405,897,101,2,0,0,
0.315003,897,100,3,0,0,
0.317663,896,101,3,0,0,
0.320806,895,102,3,0,0,
0.323077,894,103,3,0,0,
0.324561,893,104,3,0,0,
0.331523,892,105,3,0,0,
0.333093,891,106,3,0,0,
0.338001,890,107,3,0,0,
0.342391,889,108,3,0,0,
0.345454,888,109,3,0,0,
0.347401,888,108,4,0,0,
0.350645,887,109,4,0,0,
0.352846,886,110,4,0,0,
0.358065,885,111,4,0,0,
0.360146,884,112,4,0,0,
0.362091,883,113,4,0,0,
0.364143,882,114,4,0,0,
0.366138,882,113,5,0,0,
0.368604,881,114,5,0,0,
0.375685,880,115,5,0,0,
0.377652,879,116,5,0,0,
0.379414,878,117,5,0,0,
0.382980,877,118,5,0,0,
0.385720,876,119,5,0,0,
0.388528,875,120,5,0,0,
0.391554,874,121,5,0,0,
0.393399,873,122,5,0,0,
0.396457,872,123,5,0,0,
0.398041,871,124,5,0,0,
0.403250,870,125,5,0,0,
0.404849,869,126,5,0,0,
0.406536,868,127,5,0,0,
0.409376,867,128,5,0,0,
0.411462,866,129,5,0,0,
0.413095,865,130,5,0,0,
0.418338,864,131,5,0,0,
0.420980,863,132,5,0,0,
0.423892,862,133,5,0,0,
0.425974,861,134,5,0,0,
0.430095,861,133,6,0,0,
0.432249,860,134,6,0,0,
0.434028,859,135,6,0,0,
0.439101,858,136,6,0,0,
0.441023,857,137,6,0,0,
0.443095,857,137,5,1,0,
0.444796,856,138,5,1,0,
0.447341,855,139,5,1,0,
0.450140,854,140,5,1,0,
0.451701,853,141,5,1,0,
0.454229,852,142,5,1,0,
0.456127,851,143,5,1,0,
0.458240,850,144,5,1,0,
0.460038,849,145,5,1,0,
0.463120,848,146,5,1,0,
0.466448,847,147,5,1,0,
0.468512,846,148,5,1,0,
0.470030,846,147,6,1,0,
0.471573,846,146,7,1,0,
0.477624,845,147,7,1,0,
0.480109,845,146,8,1,0,
0.481830,844,147,8,1,0,
0.483715,843,148,8,1,0,
0.485435,842,149,8,1,0,
0.488676,841,150,8,1,0,
0.490360,840,151,8,1,0,
0.491944,839,152,8,1,0,
0.493465,838,153,8,1,0,
0.497206,837,154,8,1,0,
0.499387,836,155,8,1,0,
0.501209,835,156,8,1,0,
0.504463,834,157,8,1,0,
0.512073,833,158,8,1,0,
0.513735,832,159,8,1,0,
0.515452,831,160,8,1,0,
0.517104,830,161,8,1,0,
0.520405,830,160,9,1,0,
0.524212,829,161,9,1,0,
0.527519,828,162,9,1,0,
0.533036,827,163,9,1,0,
0.535203,826,164,9,1,0,
0.537552,825,165,9,1,0,
0.543312,824,166,9,1,0,
0.546827,824,165,10,1,0,
0.548703,823,166,10,1,0,
0.550670,822,167,10,1,0,
0.552230,822,166,11,1,0,
0.555397,821,167,11,1,0,
0.557131,821,166,12,1,0,
0.561426,820,167,12,1,0,
0.566633,820,166,13,1,0,
0.568911,819,167,13,1,0,
0.571181,818,168,13,1,0,
0.573017,817,169,13,1,0,
0.576673,816,170,13,1,0,
0.581553,815,171,13,1,0,
0.585973,814,172,13,1,0,
0.587627,813,173,13,1,0,
0.589482,812,174,13,1,0,
0.597068,811,175,13,1,0,
0.600494,810,176,13,1,0,
0.604676,809,177,13,1,0,
0.607129,808,178,13,1,0,
0.609280,808,177,14,1,0,
0.613046,807,178,14,1,0,
0.620089,806,179,14,1,0,
0.626100,805,180,14,1,0,
0.630462,804,181,14,1,0,
0.637081,804,180,15,1,0,
0.643943,803,181,15,1,0,
0.645705,802,182,15,1,0,
0.648328,801,183,15,1,0,
