t,B,C,A,
0.000000,0,0,1000,
0.002037,0,1,999,
0.005502,0,2,998,
0.007065,0,3,997,
0.008629,0,4,996,
0.010925,0,5,995,
0.014430,0,6,994,
0.018590,0,7,993,
0.020264,0,8,992,
0.022367,0,9,991,
0.026554,0,10,990,
0.029384,0,11,989,
0.032392,0,12,988,
0.035168,0,13,987,
0.038893,0,14,986,
0.040807,0,15,985,
0.043183,0,16,984,
0.049199,0,17,983,
0.050769,0,18,982,
0.058967,0,19,981,
0.061268,0,20,980,
0.062728,0,21,979,
0.064406,0,22,978,
0.070447,0,23,977,
0.072398,0,24,976,
0.081448,0,25,975,
0.085506,0,26,974,
0.087280,0,27,973,
0.088875,0,28,972,
0.091158,0,29,971,
0.095760,0,30,970,
0.098232,0,31,969,
0.100982,0,32,968,
0.104255,0,33,967,
0.106044,0,34,966,
0.108953,0,35,965,
0.111044,0,36,964,
0.119655,0,37,963,
0.121102,0,38,962,
0.122608,0,39,961,
0.125982,0,40,960,
0.127471,0,41,959,
0.129881,0,42,958,
0.133009,0,43,957,
0.134941,0,44,956,
0.138172,0,45,955,
0.139687,0,46,954,
0.141200,0,47,953,
0.146008,0,48,952,
0.149306,0,49,951,
0.151639,0,50,950,
0.155431,0,51,949,
0.157800,0,52,948,
0.159903,0,53,947,
0.162100,0,54,946,
0.163604,0,55,945,
0.165056,0,56,944,
0.166510,0,57,943,
0.172587,0,58,942,
0.174244,0,59,941,
0.178732,0,60,940,
0.180191,0,61,939,
0.182265,0,62,938,
0.188292,0,63,937,
0.189879,0,64,936,
0.191771,0,65,935,
0.196088,0,66,934,
0.197685,0,67,933,
0.199662,0,68,932,
0.201265,0,69,931,
0.205499,0,70,930,
0.207147,0,71,929,
0.211741,0,72,928,
0.213336,0,73,927,
0.216965,0,74,926,
0.221363,0,75,925,
0.223257,0,76,924,
0.225827,0,77,923,
0.229004,0,78,922,
0.230704,0,79,921,
0.233404,0,80,920,
0.246500,0,81,919,
0.248559,0,82,918,
