t,B,A,
0.000000,0,0,
2.872883,1,0,
4.813873,1,1,
5.542126,1,2,
5.957383,2,2,
6.147049,2,1,
6.410425,1,0,
7.212274,2,0,
10.007706,3,0,
10.783689,3,1,
11.323898,1,0,
13.171305,2,0,
14.728282,2,1,
15.023919,2,2,
15.501409,2,1,
15.736298,0,1,
17.243826,1,1,
17.692162,2,1,
19.128056,0,1,
20.110336,1,1,
20.746134,1,2,
20.982925,2,1,
21.470303,0,1,
22.198919,0,2,
25.564337,1,2,
25.994085,1,3,
26.182137,3,2,
26.312967,1,2,
26.656288,1,2,
26.910557,1,2,
27.296810,1,2,
27.557011,1,2,
27.836670,2,2,
28.077574,3,2,
28.694183,1,2,
29.078194,1,3,
29.388773,2,3,
29.942570,2,3,
30.081394,2,3,
30.325462,3,3,
30.399952,4,3,
30.532572,2,3,
30.640369,3,2,
30.752251,1,2,
31.596291,1,2,
31.858822,2,1,
32.907059,1,0,
33.745644,1,1,
34.278660,1,2,
34.583813,2,1,
35.314671,2,2,
35.455933,1,2,
35.839622,1,3,
36.176834,3,2,
36.322536,2,1,
37.390545,0,1,
38.131851,1,1,
38.559628,1,2,
38.841351,1,3,
39.113262,2,3,
39.246792,2,3,
39.540127,2,3,
39.707279,2,3,
39.887871,2,3,
40.024551,3,2,
40.671989,2,1,
40.946632,0,1,
41.879894,1,1,
42.267452,1,0,
43.160751,2,0,
44.207466,2,1,
44.529560,2,2,
45.042862,1,2,
45.632217,1,2,
46.042259,2,1,
46.329132,1,0,
47.085941,1,1,
47.639301,0,1,
49.813560,0,2,
51.223927,1,2,
51.460335,1,2,
51.720001,2,2,
52.006474,2,1,
52.294426,0,1,
53.223988,0,2,
55.202076,1,2,
55.805340,2,2,
55.968227,3,2,
56.311337,4,2,
56.401375,2,1,
57.119251,2,2,
57.323273,3,2,
57.514320,2,1,
58.080605,1,0,
60.015968,1,1,
61.457134,2,1,
61.918697,0,1,
64.637436,0,2,
65.617630,0,3,
67.399467,0,4,
69.800354,0,5,
70.569550,1,5,
70.700867,4,5,
70.739449,4,5,
70.806641,5,4,
70.841599,4,3,
70.906013,2,3,
71.086197,2,3,
71.185303,2,3,
71.304016,2,4,
71.398010,4,3,
71.603462,3,2,
71.770470,2,1,
72.158653,0,1,
74.591896,1,1,
75.370842,0,1,
76.434372,0,2,
77.494667,1,2,
78.387932,1,3,
78.934860,2,3,
79.263016,3,2,
79.363876,3,3,
79.467163,2,3,
79.631912,2,4,
79.737206,3,4,
79.808441,3,4,
79.863693,3,4,
79.974846,3,4,
80.203346,4,3,
80.257027,3,2,
80.412170,1,2,
80.962578,2,1,
81.459824,1,0,
82.589561,1,1,
83.044403,1,0,
85.766411,1,1,
86.199486,1,0,
86.976051,2,0,
88.098694,2,1,
88.387695,0,1,
89.947556,1,1,
90.518982,2,1,
91.227837,1,0,
94.118149,1,1,
94.703674,0,1,
95.715942,0,2,
96.950455,1,2,
97.427750,2,2,
97.596886,1,2,
98.114021,2,1,
98.469200,2,2,
98.690514,3,2,
98.873688,3,3,
98.956108,3,2,
99.093201,4,2,
99.286774,2,1,
99.616905,0,1,
